No,Product Type,Keywords,Primary Style Recommendation,Secondary Styles,Landing Page Pattern,Dashboard Style (if applicable),Color Palette Focus,Key Considerations
101,Crypto / DeFi Platform,"crypto, defi, blockchain, trading, wallet, web3",Cyberpunk UI + Glassmorphism,"Dark Mode (OLED), Real-Time",Feature-Rich + Trust & Authority,Trading Dashboard + Portfolio,Dark #0D0D0D + Neon #00FFFF + Gold #FFD700,Wallet connection. Real-time prices. Transaction history. Gas fees. Security indicators.
102,HealthTech / Telehealth,"health, telehealth, medical, telemedicine, consultation",Accessible & Ethical + Minimalism,"Soft UI Evolution, Trust & Authority",Trust & Authority + Conversion,Patient Dashboard + Analytics,Calm Teal #0891B2 + Trust Blue + Health Green,Video consultation. Appointment booking. Health records. HIPAA compliance. Accessibility.
103,Climate / Sustainability Tech,"climate, carbon, sustainability, eco, environmental",Organic Biophilic + Minimalism,"Accessible & Ethical, Data-Dense",Interactive Demo + Storytelling,Impact Dashboard + Analytics,Earth Green #228B22 + Sky Blue + Solar Yellow,Carbon tracking. Impact visualization. Goal progress. Certification badges. Data export.
104,Remote Work / Collaboration,"remote, collaboration, workspace, team, async, sync",Soft UI Evolution + Glassmorphism,"Minimalism, Micro-interactions",Feature-Rich + Interactive Demo,Team Dashboard + Activity,Calm Blue #3B82F6 + Presence indicators + Status colors,Real-time presence. Video/audio. Document collaboration. Async communication. Integrations.
105,Low-Code / No-Code Tool,"lowcode, nocode, visual, builder, automation, workflow",Flat Design + Micro-interactions,"Bento Grid, Soft UI Evolution",Interactive Demo + Feature-Rich,Visual Builder + Dashboard,Clean white + Drag indicators + Connection colors,Visual canvas. Component library. Logic builder. Preview. Deployment. Templates.
106,DevOps / Monitoring Dashboard,"devops, monitoring, observability, infrastructure, logs",Dark Mode (OLED) + Data Maximalism,"Real-Time, HUD Style",Minimal & Direct + Documentation,Real-Time Monitor + Alerts,Dark #0F172A + Status colors + Alert red/green/yellow,Real-time metrics. Log streaming. Alert management. Incident response. Uptime tracking.
107,EdTech / Learning Platform,"education, learning, courses, lms, training, students",Claymorphism + Vibrant & Block-based,"Micro-interactions, Flat Design",Feature-Rich + Social Proof,Learning Dashboard + Progress,Playful colors + Progress green + Achievement gold,Course catalog. Progress tracking. Quizzes. Certificates. Discussion. Gamification.
108,HR Tech / Recruiting Platform,"hr, recruiting, hiring, talent, ats, candidates",Flat Design + Minimalism,"Trust & Authority, Accessible",Feature-Rich + Trust,Pipeline Dashboard + Analytics,Professional Blue #2563EB + Status colors + Neutral,Job posting. Applicant tracking. Interview scheduling. Candidate profiles. Analytics.
109,Real Estate Tech,"realestate, property, listings, housing, rentals",Glassmorphism + Motion-Driven,"3D & Hyperrealism, Minimalism",Hero-Centric + Feature-Rich,Property Dashboard + Analytics,Trust Blue #0077B6 + Gold accents + Clean white,Property listings. Virtual tours. Search/filter. Mortgage calculator. Agent profiles.
110,Food Delivery / Restaurant,"food, delivery, restaurant, ordering, menu, takeout",Vibrant & Block-based + Motion-Driven,"Flat Design, Micro-interactions",Conversion + Hero-Centric,Order Dashboard + Analytics,Warm Orange #F97316 + Appetizing reds + Success green,Menu display. Cart. Order tracking. Delivery status. Restaurant profiles. Reviews.
111,Fitness / Wellness App,"fitness, workout, health, gym, exercise, wellness",Vibrant & Block-based + Dark Mode (OLED),"Motion-Driven, Micro-interactions",Feature-Rich + Social Proof,Activity Dashboard + Progress,Energetic Orange #FF6B35 + Progress green + Dark bg,Workout plans. Progress tracking. Activity logging. Achievements. Social features.
112,Social Media Platform,"social, network, community, sharing, feed, connections",Vibrant & Block-based + Motion-Driven,"Aurora UI, Micro-interactions",Feature-Rich + Social Proof,Feed + Analytics Dashboard,Brand primary + Engagement metrics + Notification red,Feed. Profiles. Messaging. Notifications. Content creation. Discovery. Privacy settings.
113,Podcast / Audio Platform,"podcast, audio, streaming, episodes, listening, shows",Dark Mode (OLED) + Minimalism,"Motion-Driven, Vibrant accents",Storytelling + Feature-Rich,Player Dashboard + Analytics,Dark #121212 + Audio waveform accents + Brand,Audio player. Episode discovery. Playlist management. Podcast creation. Analytics.
114,Kids Baby Parenting App,"kids, children, baby, parenting, family, childcare, toddler, infant, nursery, playtime",Playful + Colorful + Rounded,"Soft UI Evolution, Friendly",Trust-first with Safety Features,Visual Progress + Simple Navigation,Bright pastels + Friendly colors + Safe warm tones,Child safety first. Parental controls. Age-appropriate content. Playful UI. Trust signals. COPPA compliance.
115,Manufacturing Industrial Platform,"manufacturing, industrial, factory, production, assembly, plant, warehouse, logistics, machinery",Professional + Data-heavy,"Corporate, Technical",Trust + Features,Data-Dense + Real-Time Monitoring,Professional Blue + Safety Yellow/Orange + Industrial Grey,Real-time monitoring. Equipment status. Production metrics. Safety alerts. Shift management. IoT integration.
116,Crowdfunding Fundraising Platform,"crowdfunding, fundraising, kickstarter, donation, campaign, pledge, backer, investment, community, funding",Trust-focused + Social Proof,"Progress-driven, Community",Hero with Progress + Social Proof,Campaign Progress + Backer Management,Trust Blue + Progress Green + Urgency Orange,Progress bars. Backer counts. Social proof. Countdown timers. Reward tiers. Creator profiles. Payment security.
