No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes,Tailwind_Config,Glow_Effects,Dark_Mode_Colors,Semantic_Mapping,Data_Viz_Palette,Semantic_Tokens
63,Dental Clinic,"dental, clinic, dentist, orthodontist, smile, teeth, whitening, hygiene, patient, anxiety, calm",#5A9BD4,#4DB6AC,#FF8C42,#FFFFFF,#1E3A4C,#E8F4F8,2026 Dental Clinic: Soft trust blue #5A9BD4 (hygiene/clinical calm) + Light teal #4DB6AC (fresh wellness/anxiety-reducing) + Warm orange CTA #FF8C42 (friendly Book Now) + Pure white BG #FFFFFF (clean clinical/smile-friendly) + Muted green accents #A8D5BA (natural calm) + 60% neutrals / 30% cool tones / 10% accents rule + WCAG AA contrast + Minimalist Zen layout inspired,"{ primary: '#5A9BD4', secondary: '#4DB6AC', cta: '#FF8C42', background: '#FFFFFF', foreground: '#1E3A4C' }","box-shadow: 0 0 20px rgba(255,140,66,0.35); text-shadow: 0 0 10px rgba(77,182,172,0.4);","{ background: '#0F1A1F', text: '#F5F5F5', primary: '#6AAEE0', secondary: '#5CC4B8', cta: '#FFA366', border: '#1E3A4C' }","{""background"":""#FFFFFF"",""foreground"":""#1E3A4C"",""primary"":""#5A9BD4"",""primary-foreground"":""#FFFFFF"",""secondary"":""#4DB6AC"",""secondary-foreground"":""#FFFFFF"",""muted"":""#A8D5BA"",""accent"":""#FF8C42"",""destructive"":""#E57373"",""success"":""#4DB6AC""}","[""#7AB4E2"",""#5A9BD4"",""#3D82C4"",""#4DB6AC"",""#3DA69C"",""#A8D5BA"",""#FF8C42"",""#D4AF37""]","{""background"":""#FFFFFF"",""foreground"":""#1E3A4C"",""card"":""#FFFFFF"",""card-foreground"":""#1E3A4C"",""popover"":""#F5F5F5"",""popover-foreground"":""#1E3A4C"",""primary"":""#5A9BD4"",""primary-foreground"":""#FFFFFF"",""secondary"":""#4DB6AC"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F5F5F5"",""muted-foreground"":""#64748B"",""accent"":""#FF8C42"",""accent-foreground"":""#FFFFFF"",""destructive"":""#E57373"",""destructive-foreground"":""#FFFFFF"",""success"":""#4DB6AC"",""success-foreground"":""#FFFFFF"",""border"":""#E8F4F8"",""input"":""#E8F4F8"",""ring"":""#5A9BD4""}"
64,Veterinary/Pet Care,"veterinary, clinic, pet care, animal hospital, pet shop, vet, animal care, pet health, grooming",#39603D,#D8C4A8,#E07A5F,#FCEED1,#2D3B2D,#B7D1C4,2026 Veterinary Pet Care: Forest green #39603D (healing/nature calm) + Warm tan #D8C4A8 (friendly earthy wood/sand tones) + Soft coral CTA #E07A5F (warm joyful engagement) + Light beige BG #FCEED1 (clean pet-friendly warmth) + Biophilic nature-inspired + WCAG accessible + Pet parent trust colors + Modern vet practice aesthetics,"{ primary: '#39603D', secondary: '#D8C4A8', cta: '#E07A5F', background: '#FCEED1', foreground: '#2D3B2D' }","box-shadow: 0 0 20px rgba(224,122,95,0.35); text-shadow: 0 0 10px rgba(57,96,61,0.4);","{ background: '#1A2421', text: '#FCEED1', primary: '#4A7A4E', secondary: '#E8D4B8', cta: '#F08A6F', border: '#2D4A3E' }","{""background"":""#FCEED1"",""foreground"":""#2D3B2D"",""primary"":""#39603D"",""primary-foreground"":""#FFFFFF"",""secondary"":""#D8C4A8"",""secondary-foreground"":""#2D3B2D"",""muted"":""#B7D1C4"",""accent"":""#E07A5F"",""destructive"":""#E57373"",""success"":""#4A7A4E"",""warning"":""#D4A574""}","[""#4A7A4E"",""#39603D"",""#2D4A31"",""#D8C4A8"",""#C4B094"",""#E07A5F"",""#B7D1C4""]","{""background"":""#FCEED1"",""foreground"":""#2D3B2D"",""card"":""#FFFBF5"",""card-foreground"":""#2D3B2D"",""popover"":""#FFFBF5"",""popover-foreground"":""#2D3B2D"",""primary"":""#39603D"",""primary-foreground"":""#FFFFFF"",""secondary"":""#D8C4A8"",""secondary-foreground"":""#2D3B2D"",""muted"":""#F5E6D3"",""muted-foreground"":""#5C6B5C"",""accent"":""#E07A5F"",""accent-foreground"":""#FFFFFF"",""destructive"":""#E57373"",""destructive-foreground"":""#FFFFFF"",""success"":""#4A7A4E"",""success-foreground"":""#FFFFFF"",""warning"":""#D4A574"",""warning-foreground"":""#2D3B2D"",""border"":""#B7D1C4"",""input"":""#E8DDD4"",""ring"":""#39603D""}"
65,Florist/Plant Shop,"florist, plant, shop, flower, botanical, garden, bouquet, arrangement, gift, wedding, floral design",#BFD8B8,#D8A7B1,#F4A261,#F9F6F0,#5C5248,#E8E4D9,2026 Florist/Botanical: Sage green #BFD8B8 (nature-inspired trust/growth) + Dusty blush #D8A7B1 (romantic floral elegance) + Soft peach CTA #F4A261 (warm gift-ready action/Order Now) + Champagne cream BG #F9F6F0 (airy showcase for arrangements) + Taupe foreground #5C5248 (earthy depth) + Seasonal adaptability (spring pastels/autumn muted/winter whites) + Premium gift aesthetic + WCAG accessible + Modern minimalist flower shop UI,"{ primary: '#BFD8B8', secondary: '#D8A7B1', cta: '#F4A261', background: '#F9F6F0', foreground: '#5C5248' }","box-shadow: 0 0 20px rgba(244,162,97,0.35); text-shadow: 0 0 12px rgba(191,216,184,0.4);","{ background: '#2A2824', text: '#F9F6F0', primary: '#C8E0C0', secondary: '#E4B8C1', cta: '#F5B070', border: '#4A4640' }","{""background"":""#F9F6F0"",""foreground"":""#5C5248"",""primary"":""#BFD8B8"",""primary-foreground"":""#2D3B2D"",""secondary"":""#D8A7B1"",""secondary-foreground"":""#4A3A3E"",""muted"":""#E8E4D9"",""accent"":""#F4A261"",""destructive"":""#E07A5F"",""success"":""#8FB996"",""warning"":""#E9C46A""}","[""#8FB996"",""#BFD8B8"",""#D4E8CD"",""#D8A7B1"",""#E8BFC7"",""#F4A261"",""#F9F6F0""]","{""background"":""#F9F6F0"",""foreground"":""#5C5248"",""card"":""#FFFFFF"",""card-foreground"":""#5C5248"",""popover"":""#FFFCF8"",""popover-foreground"":""#5C5248"",""primary"":""#BFD8B8"",""primary-foreground"":""#2D3B2D"",""secondary"":""#D8A7B1"",""secondary-foreground"":""#4A3A3E"",""muted"":""#F5F2ED"",""muted-foreground"":""#7A7068"",""accent"":""#F4A261"",""accent-foreground"":""#3D2E1E"",""destructive"":""#E07A5F"",""destructive-foreground"":""#FFFFFF"",""success"":""#8FB996"",""success-foreground"":""#1A2E1D"",""warning"":""#E9C46A"",""warning-foreground"":""#3D3520"",""border"":""#E8E4D9"",""input"":""#E8E4D9"",""ring"":""#BFD8B8""}"
66,Bakery/Pastry,"bakery, pastry, artisan bread, boulangerie, patisserie, croissant, sourdough, fresh baked, cake shop",#C4A77D,#DBC19C,#D4733A,#FBF8EF,#4A3728,#E8DDD4,2026 Artisan Bakery: Golden wheat #C4A77D (warm appetizing butter/crust tones) + Soft almond #DBC19C (fresh cream/dough warmth) + Terracotta CTA #D4733A (baked goods appeal/Order Now) + Cloud Dancer cream BG #FBF8EF (Pantone 2026 inspired purity) + Chocolate brown text #4A3728 (rich artisanal depth) + Linen border #E8DDD4 + Matte textures for artisan feel + Product photography focus + WCAG accessible warm neutrals,"{ primary: '#C4A77D', secondary: '#DBC19C', cta: '#D4733A', background: '#FBF8EF', foreground: '#4A3728' }","box-shadow: 0 0 20px rgba(212,115,58,0.35); text-shadow: 0 0 10px rgba(196,167,125,0.4);","{ background: '#2A2420', text: '#FBF8EF', primary: '#D4B78D', secondary: '#E8D1AC', cta: '#E4834A', border: '#4A4038' }","{""background"":""#FBF8EF"",""foreground"":""#4A3728"",""primary"":""#C4A77D"",""primary-foreground"":""#2A2016"",""secondary"":""#DBC19C"",""secondary-foreground"":""#3D2E20"",""muted"":""#E8DDD4"",""accent"":""#D4733A"",""destructive"":""#C75050""}","[""#E8D1AC"",""#DBC19C"",""#C4A77D"",""#A9895E"",""#8B6D45"",""#D4733A"",""#B8612E""]","{""background"":""#FBF8EF"",""foreground"":""#4A3728"",""card"":""#FFFCF7"",""card-foreground"":""#4A3728"",""popover"":""#FFFCF7"",""popover-foreground"":""#4A3728"",""primary"":""#C4A77D"",""primary-foreground"":""#2A2016"",""secondary"":""#DBC19C"",""secondary-foreground"":""#3D2E20"",""muted"":""#F5F0E8"",""muted-foreground"":""#7A6B5C"",""accent"":""#D4733A"",""accent-foreground"":""#FFFFFF"",""destructive"":""#C75050"",""destructive-foreground"":""#FFFFFF"",""border"":""#E8DDD4"",""input"":""#E8DDD4"",""ring"":""#C4A77D""}"
67,Coffee Shop/Roastery,"coffee, shop, roastery, cafe, espresso, third-wave, specialty, Blue Bottle, Stumptown, barista, latte, brew, beans",#4E3B31,#A65E2E,#B8813D,#F7F2E7,#2C1810,#D9B68C,2026 Third-Wave Coffee: Deep coffee bean #4E3B31 (roasted espresso/Blue Bottle earth minimalism) + Warm terracotta #A65E2E (roastery craft/Stumptown artisan) + Golden roast CTA #B8813D (subscription/shop urgency) + Warm cream BG #F7F2E7 (latte foam/cozy atmosphere) + Espresso text #2C1810 + Latte foam borders #D9B68C + Status (brewing=#C69C6D ready=#6F4E37 sold-out=#8B5A2B) + Craft authenticity + WCAG 4.5:1 compliant,"{ primary: '#4E3B31', secondary: '#A65E2E', cta: '#B8813D', background: '#F7F2E7', foreground: '#2C1810' }","box-shadow: 0 0 20px rgba(184,129,61,0.4); text-shadow: 0 0 10px rgba(78,59,49,0.5);","{ background: '#1A1410', text: '#F7F2E7', primary: '#5E4B41', secondary: '#B86E3E', cta: '#C8914D', border: '#3D2E26' }","{""background"":""#F7F2E7"",""foreground"":""#2C1810"",""primary"":""#4E3B31"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A65E2E"",""secondary-foreground"":""#FFFFFF"",""muted"":""#D9B68C"",""accent"":""#B8813D"",""destructive"":""#B54A32"",""success"":""#6F4E37"",""warning"":""#C69C6D"",""info"":""#8B5A2B""}","[""#2C1810"",""#4E3B31"",""#6F4E37"",""#8B5A2B"",""#A65E2E"",""#C69C6D"",""#D9B68C""]","{""background"":""#F7F2E7"",""foreground"":""#2C1810"",""card"":""#FFFCF5"",""card-foreground"":""#2C1810"",""popover"":""#FFFCF5"",""popover-foreground"":""#2C1810"",""primary"":""#4E3B31"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A65E2E"",""secondary-foreground"":""#FFFFFF"",""muted"":""#E8CBAF"",""muted-foreground"":""#6F4E37"",""accent"":""#B8813D"",""accent-foreground"":""#FFFFFF"",""destructive"":""#B54A32"",""destructive-foreground"":""#FFFFFF"",""success"":""#6F4E37"",""success-foreground"":""#FFFFFF"",""warning"":""#C69C6D"",""warning-foreground"":""#2C1810"",""info"":""#8B5A2B"",""info-foreground"":""#FFFFFF"",""border"":""#D9B68C"",""input"":""#E8CBAF"",""ring"":""#4E3B31""}"
68,Brewery/Craft Beer,"brewery, craft beer, taproom, ipa, hops, microbrewery, ale, lager, beer garden, industrial, amber, artisan",#4A7C59,#D99F5B,#E6B485,#F5F2EC,#2A2520,#656F7A,2026 Craft Brewery Taproom: Hop green #4A7C59 (fresh hop vines/nature-inspired craft) + Amber glow #D99F5B (golden IPA tones/beer pour warmth) + Froth beige CTA #E6B485 (foam highlights/inviting actions) + Warm cream BG #F5F2EC (industrial loft warmth) + Deep earth text #2A2520 (barrel-aged depth) + Industrial gray borders #656F7A (exposed metal/concrete aesthetic) + Status (on-tap=#4A7C59 limited=#D99F5B sold-out=#766150) + Parallax taproom tours + Mobile-first menus + WCAG 4.5:1 contrast,"{ primary: '#4A7C59', secondary: '#D99F5B', cta: '#E6B485', background: '#F5F2EC', foreground: '#2A2520' }","box-shadow: 0 0 20px rgba(217,159,91,0.4); text-shadow: 0 0 10px rgba(74,124,89,0.5);","{ background: '#1A1815', text: '#F5F2EC', primary: '#5A8C69', secondary: '#E9AF6B', cta: '#F6C495', border: '#3A3530' }","{""background"":""#F5F2EC"",""foreground"":""#2A2520"",""primary"":""#4A7C59"",""primary-foreground"":""#FFFFFF"",""secondary"":""#D99F5B"",""secondary-foreground"":""#2A2520"",""muted"":""#656F7A"",""accent"":""#E6B485"",""destructive"":""#B54A32"",""success"":""#4A7C59"",""warning"":""#D99F5B"",""info"":""#766150""}","[""#2A2520"",""#3A3530"",""#4A7C59"",""#5A8C69"",""#766150"",""#D99F5B"",""#E6B485""]","{""background"":""#F5F2EC"",""foreground"":""#2A2520"",""card"":""#FFFDF8"",""card-foreground"":""#2A2520"",""popover"":""#FFFDF8"",""popover-foreground"":""#2A2520"",""primary"":""#4A7C59"",""primary-foreground"":""#FFFFFF"",""secondary"":""#D99F5B"",""secondary-foreground"":""#2A2520"",""muted"":""#E8E4DC"",""muted-foreground"":""#656F7A"",""accent"":""#E6B485"",""accent-foreground"":""#2A2520"",""destructive"":""#B54A32"",""destructive-foreground"":""#FFFFFF"",""success"":""#4A7C59"",""success-foreground"":""#FFFFFF"",""warning"":""#D99F5B"",""warning-foreground"":""#2A2520"",""info"":""#766150"",""info-foreground"":""#FFFFFF"",""border"":""#656F7A"",""input"":""#E8E4DC"",""ring"":""#4A7C59""}"
69,Airline,airline,#7C3AED,#A78BFA,#06B6D4,#FAF5FF,#1E1B4B,#DDD6FE,Sky Blue + Brand colors + Trust accents,"{ primary: '#7C3AED', secondary: '#A78BFA', cta: '#06B6D4', background: '#FAF5FF', foreground: '#1E1B4B' }","box-shadow: 0 0 20px rgba(6,182,212,0.4); text-shadow: 0 0 10px rgba(6,182,212,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#7C3AED', secondary: '#A78BFA', cta: '#06B6D4', border: '#27272A' }","{""background"":""#FAF5FF"",""foreground"":""#1E1B4B"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#4b44bb"",""accent"":""#06B6D4"",""destructive"":""#EF4444""}","[""#ba97f6"",""#9b69f1"",""#7C3AED"",""#5f14e0"",""#4b10b1"",""#a78bfa"",""#825af8""]","{""background"":""#FAF5FF"",""foreground"":""#1E1B4B"",""card"":""#FFFFFF"",""card-foreground"":""#1E1B4B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E1B4B"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#06B6D4"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#DDD6FE"",""input"":""#DDD6FE"",""ring"":""#7C3AED""}"
70,News/Media Platform,"news, media, journalism, editorial, breaking news",#1A1A2E,#2D426E,#FF6B35,#FAFBFC,#0F0F0F,#E5E7EB,Breaking news urgency + Editorial credibility + Category teal + NYT/Reuters inspired 2026,"{ primary: '#1A1A2E', secondary: '#2D426E', cta: '#FF6B35', background: '#FAFBFC', foreground: '#0F0F0F' }","box-shadow: 0 0 20px rgba(255,107,53,0.4); text-shadow: 0 0 10px rgba(255,107,53,0.6);","{ background: '#0F0F0F', text: '#FAFBFC', primary: '#2D426E', secondary: '#4A5568', cta: '#FF6B35', border: '#1F2937' }","{""background"":""#FAFBFC"",""foreground"":""#0F0F0F"",""primary"":""#1A1A2E"",""primary-foreground"":""#FFFFFF"",""secondary"":""#2D426E"",""secondary-foreground"":""#FFFFFF"",""muted"":""#4A5568"",""accent"":""#0891B2"",""destructive"":""#DC2626""}","[""#2d2d4a"",""#232340"",""#1A1A2E"",""#10101c"",""#08080e"",""#3d5a8a"",""#2D426E""]","{""background"":""#FAFBFC"",""foreground"":""#0F0F0F"",""card"":""#FFFFFF"",""card-foreground"":""#0F0F0F"",""popover"":""#FFFFFF"",""popover-foreground"":""#0F0F0F"",""primary"":""#1A1A2E"",""primary-foreground"":""#FFFFFF"",""secondary"":""#2D426E"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F3F4F6"",""muted-foreground"":""#6B7280"",""accent"":""#0891B2"",""accent-foreground"":""#FFFFFF"",""destructive"":""#DC2626"",""destructive-foreground"":""#FFFFFF"",""border"":""#E5E7EB"",""input"":""#E5E7EB"",""ring"":""#1A1A2E""}"
71,Magazine/Blog,"magazine, blog, editorial, longform, vogue, medium, publisher, content",#5B4B8A,#2D9B9B,#E85A50,#FAF8F5,#1A1A2E,#E8E4DF,2026 Editorial: Vogue-inspired deep purple #5B4B8A (expressive typography/headers) + Muted teal #2D9B9B (category navigation/links) + Warm coral CTA #E85A50 (featured highlights) + Limestone cream BG #FAF8F5 (eye-friendly longform reading) + Category colors (Culture=#8B5CF6 Tech=#06B6D4 Lifestyle=#EC4899 Opinion=#F59E0B) + Dark mode optimized for immersive scrolling,"{ primary: '#5B4B8A', secondary: '#2D9B9B', cta: '#E85A50', background: '#FAF8F5', foreground: '#1A1A2E' }","box-shadow: 0 0 22px rgba(91,75,138,0.35); text-shadow: 0 0 12px rgba(232,90,80,0.5);","{ background: '#1A1A2E', text: '#F5F3EF', primary: '#7B6BA8', secondary: '#3DBABA', cta: '#FF6B5E', border: '#2D2D44' }","{""background"":""#FAF8F5"",""foreground"":""#1A1A2E"",""primary"":""#5B4B8A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#2D9B9B"",""secondary-foreground"":""#FFFFFF"",""muted"":""#9B9A97"",""accent"":""#E85A50"",""destructive"":""#DC2626""}","[""#8B5CF6"",""#5B4B8A"",""#3D3268"",""#2D9B9B"",""#1F7A7A"",""#E85A50"",""#C74A42""]","{""background"":""#FAF8F5"",""foreground"":""#1A1A2E"",""card"":""#FFFFFF"",""card-foreground"":""#1A1A2E"",""popover"":""#FFFEF9"",""popover-foreground"":""#1A1A2E"",""primary"":""#5B4B8A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#2D9B9B"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F5F3EF"",""muted-foreground"":""#6B7280"",""accent"":""#E85A50"",""accent-foreground"":""#FFFFFF"",""destructive"":""#DC2626"",""destructive-foreground"":""#FFFFFF"",""border"":""#E8E4DF"",""input"":""#E8E4DF"",""ring"":""#5B4B8A""}"
72,Freelancer Platform,"freelancer, platform",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Professional Blue + Success Green + Neutral,"{ primary: '#0F172A', secondary: '#334155', cta: '#0369A1', background: '#F8FAFC', foreground: '#020617' }","box-shadow: 0 0 20px rgba(3,105,161,0.4); text-shadow: 0 0 10px rgba(3,105,161,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#15203A', secondary: '#42546E', cta: '#037EC1', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#0e2ba4"",""accent"":""#0369A1"",""destructive"":""#EF4444""}","[""#2a4075"",""#1c2c50"",""#0F172A"",""#020204"",""#000000"",""#334155"",""#202935""]","{""background"":""#F8FAFC"",""foreground"":""#020617"",""card"":""#FFFFFF"",""card-foreground"":""#020617"",""popover"":""#FFFFFF"",""popover-foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#0369A1"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#0F172A""}"
73,Consulting Firm,"consulting, firm",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Navy + Gold + Professional grey,"{ primary: '#0F172A', secondary: '#334155', cta: '#0369A1', background: '#F8FAFC', foreground: '#020617' }","box-shadow: 0 0 20px rgba(3,105,161,0.4); text-shadow: 0 0 10px rgba(3,105,161,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#15203A', secondary: '#42546E', cta: '#037EC1', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#0e2ba4"",""accent"":""#0369A1"",""destructive"":""#EF4444""}","[""#2a4075"",""#1c2c50"",""#0F172A"",""#020204"",""#000000"",""#334155"",""#202935""]","{""background"":""#F8FAFC"",""foreground"":""#020617"",""card"":""#FFFFFF"",""card-foreground"":""#020617"",""popover"":""#FFFFFF"",""popover-foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#0369A1"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#0F172A""}"
74,Marketing Agency,"marketing, agency",#EC4899,#F472B6,#06B6D4,#FDF2F8,#831843,#FBCFE8,Bold brand colors + Creative freedom,"{ primary: '#EC4899', secondary: '#F472B6', cta: '#06B6D4', background: '#FDF2F8', foreground: '#831843' }","box-shadow: 0 0 20px rgba(6,182,212,0.4); text-shadow: 0 0 10px rgba(6,182,212,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#EC4899', secondary: '#F472B6', cta: '#06B6D4', border: '#27272A' }","{""background"":""#FDF2F8"",""foreground"":""#831843"",""primary"":""#EC4899"",""primary-foreground"":""#000000"",""secondary"":""#F472B6"",""secondary-foreground"":""#000000"",""muted"":""#e0548c"",""accent"":""#06B6D4"",""destructive"":""#EF4444""}","[""#f6a4cc"",""#f176b3"",""#EC4899"",""#e71a7f"",""#bb1366"",""#f472b6"",""#f0439d""]","{""background"":""#FDF2F8"",""foreground"":""#831843"",""card"":""#FFFFFF"",""card-foreground"":""#831843"",""popover"":""#FFFFFF"",""popover-foreground"":""#831843"",""primary"":""#EC4899"",""primary-foreground"":""#000000"",""secondary"":""#F472B6"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#06B6D4"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FBCFE8"",""input"":""#FBCFE8"",""ring"":""#EC4899""}"
75,Event Management,"event, management",#7C3AED,#A78BFA,#F97316,#FAF5FF,#4C1D95,#DDD6FE,Event theme colors + Excitement accents,"{ primary: '#7C3AED', secondary: '#A78BFA', cta: '#F97316', background: '#FAF5FF', foreground: '#4C1D95' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#7C3AED', secondary: '#A78BFA', cta: '#F97316', border: '#27272A' }","{""background"":""#FAF5FF"",""foreground"":""#4C1D95"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#9869e2"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#ba97f6"",""#9b69f1"",""#7C3AED"",""#5f14e0"",""#4b10b1"",""#a78bfa"",""#825af8""]","{""background"":""#FAF5FF"",""foreground"":""#4C1D95"",""card"":""#FFFFFF"",""card-foreground"":""#4C1D95"",""popover"":""#FFFFFF"",""popover-foreground"":""#4C1D95"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#DDD6FE"",""input"":""#DDD6FE"",""ring"":""#7C3AED""}"
76,Conference/Webinar Platform,"conference, webinar, platform",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Professional Blue + Video accent + Brand,"{ primary: '#0F172A', secondary: '#334155', cta: '#0369A1', background: '#F8FAFC', foreground: '#020617' }","box-shadow: 0 0 20px rgba(3,105,161,0.4); text-shadow: 0 0 10px rgba(3,105,161,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#15203A', secondary: '#42546E', cta: '#037EC1', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#0e2ba4"",""accent"":""#0369A1"",""destructive"":""#EF4444""}","[""#2a4075"",""#1c2c50"",""#0F172A"",""#020204"",""#000000"",""#334155"",""#202935""]","{""background"":""#F8FAFC"",""foreground"":""#020617"",""card"":""#FFFFFF"",""card-foreground"":""#020617"",""popover"":""#FFFFFF"",""popover-foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#0369A1"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#0F172A""}"
77,Membership/Community,"membership, community",#7C3AED,#A78BFA,#F97316,#FAF5FF,#4C1D95,#DDD6FE,Community brand colors + Engagement accents,"{ primary: '#7C3AED', secondary: '#A78BFA', cta: '#F97316', background: '#FAF5FF', foreground: '#4C1D95' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#7C3AED', secondary: '#A78BFA', cta: '#F97316', border: '#27272A' }","{""background"":""#FAF5FF"",""foreground"":""#4C1D95"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#9869e2"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#ba97f6"",""#9b69f1"",""#7C3AED"",""#5f14e0"",""#4b10b1"",""#a78bfa"",""#825af8""]","{""background"":""#FAF5FF"",""foreground"":""#4C1D95"",""card"":""#FFFFFF"",""card-foreground"":""#4C1D95"",""popover"":""#FFFFFF"",""popover-foreground"":""#4C1D95"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#DDD6FE"",""input"":""#DDD6FE"",""ring"":""#7C3AED""}"
