"STT","Style Category","Type","Keywords","Primary Colors","Secondary Colors","Effects & Animation","Best For","Do Not Use For","Light Mode ✓","Dark Mode ✓","Performance","Accessibility","Mobile-Friendly","Conversion-Focused","Framework Compatibility","Era/Origin","Complexity","CSS_Code","Motion_Config","Animation_Variants"
"25","Interactive Product Demo","Landing Page","Embedded product mockup/video, interactive elements, product walkthrough, step-by-step guides, hover-to-reveal features, embedded demos","Primary brand, interface colors matching product, demo highlight colors for interactive elements","Product UI colors, tutorial step colors (numbered progression), hover state indicators","Product animation playback, step progression animations, hover reveal effects, smooth zoom on interaction","SaaS platforms, tool/software products, productivity apps landing pages, developer tools, productivity software","Simple services, consulting, non-digital products, complexity-averse audiences","✓ Full","✓ Full","⚠ Good (video/interactive)","✓ WCAG AA","✓ Good","✓ Very High","Tailwind 9/10, React 10/10, Framer Motion 9/10","2020s Modern","High",".demo-container { border-radius: 16px; overflow: hidden; box-shadow: 0 25px 50px rgba(0,0,0,0.15); } .demo-step { opacity: 0.5; transition: all 300ms ease; } .demo-step.active { opacity: 1; transform: scale(1.02); } .demo-hotspot { animation: pulse 2s infinite; cursor: pointer; } @keyframes pulse { 0%, 100% { box-shadow: 0 0 0 0 rgba(59,130,246,0.4); } 50% { box-shadow: 0 0 0 10px rgba(59,130,246,0); } }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"26","Trust & Authority","Landing Page","Certificates/badges displayed, expert credentials, case studies with metrics, before/after comparisons, industry recognition, security badges","Professional colors (blue/grey), trust colors, certification badge colors (gold/silver accents)","Certificate highlight colors, metric showcase colors, comparison highlight (success green)","Badge hover effects, metric pulse animations, certificate carousel, smooth stat reveal","Healthcare/medical landing pages, financial services, enterprise software, premium/luxury products, legal services","Casual products, entertainment, viral/social-first products","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AAA","✓ Full","✓ High","Tailwind 10/10, Bootstrap 9/10","2020s Modern","Low",".trust-badge { display: inline-flex; align-items: center; gap: 8px; padding: 8px 16px; background: #F8FAFC; border: 1px solid #E2E8F0; border-radius: 8px; } .trust-badge:hover { border-color: #CBD5E1; } .credential { color: #1E40AF; font-weight: 600; } .security-seal { filter: grayscale(0); transition: filter 200ms; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"27","Storytelling-Driven","Landing Page","Narrative flow, visual story progression, section transitions, consistent character/brand voice, emotional messaging, journey visualization","Brand primary, warm/emotional colors, varied accent colors per story section, high visual variety","Story section color coding, emotional state colors (calm, excitement, success), transitional gradients","Section-to-section animations, scroll-triggered reveals, character/icon animations, morphing transitions, parallax narrative","Brand/startup stories, mission-driven products, premium/lifestyle brands, documentary-style products, educational","Technical/complex products (unless narrative-driven), traditional enterprise software","✓ Full","✓ Full","⚠ Moderate (animations)","✓ WCAG AA","✓ Good","✓ High","GSAP 10/10, Framer Motion 9/10, Tailwind 8/10","2020s Modern","High",".story-section { min-height: 100vh; opacity: 0; transform: translateY(40px); transition: all 600ms ease-out; } .story-section.visible { opacity: 1; transform: translateY(0); } .story-chapter { background: linear-gradient(180deg, var(--chapter-color) 0%, transparent 100%); } .narrative-text { font-size: 1.25rem; line-height: 1.8; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"28","Data-Dense Dashboard","BI/Analytics","Multiple charts/widgets, data tables, KPI cards, minimal padding, grid layout, space-efficient, maximum data visibility","Neutral primary (light grey/white #F5F5F5), data colors (blue/green/red), dark text #333333","Chart colors: success (green #22C55E), warning (amber #F59E0B), alert (red #EF4444), neutral (grey)","Hover tooltips, chart zoom on click, row highlighting on hover, smooth filter animations, data loading spinners","Business intelligence dashboards, financial analytics, enterprise reporting, operational dashboards, data warehousing","Marketing dashboards, consumer-facing analytics, simple reporting","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA","◐ Medium","✗ Not applicable","Recharts 9/10, Chart.js 9/10, D3.js 10/10","2020s Modern","Medium",".dashboard-grid { display: grid; grid-template-columns: repeat(auto-fit, minmax(280px, 1fr)); gap: 12px; } .widget-card { background: #FFFFFF; border: 1px solid #E5E7EB; border-radius: 8px; padding: 16px; } .data-row:hover { background: #F3F4F6; } .kpi-value { font-size: 2rem; font-weight: 700; color: #111827; }","{""type"":""tween"",""ease"":""easeInOut"",""duration"":0.3}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"29","Heat Map & Heatmap Style","BI/Analytics","Color-coded grid/matrix, data intensity visualization, geographical heat maps, correlation matrices, cell-based representation, gradient coloring","Gradient scale: Cool (blue #0080FF) to hot (red #FF0000), neutral middle (white/yellow)","Support gradients: Light (cool blue) to dark (warm red), divergent for positive/negative data, monochromatic options","Color gradient transitions on data change, cell highlighting on hover, tooltip reveal on click, smooth color animation","Geographical analysis, performance matrices, correlation analysis, user behavior heatmaps, temperature/intensity data","Linear data representation, categorical comparisons (use bar charts), small datasets","✓ Full","✓ Full (with adjustments)","⚡ Excellent","⚠ Colorblind considerations","◐ Medium","✗ Not applicable","D3.js 10/10, Recharts 8/10, Chart.js 8/10","2020s Modern","Medium",".heatmap-cell { transition: all 200ms ease; } .heatmap-cell:hover { transform: scale(1.1); z-index: 10; box-shadow: 0 0 8px rgba(0,0,0,0.3); } .heatmap-gradient { background: linear-gradient(90deg, #0080FF 0%, #FFFFFF 50%, #FF0000 100%); } .heatmap-tooltip { background: #1F2937; color: #FFFFFF; padding: 8px 12px; border-radius: 6px; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"30","Executive Dashboard","BI/Analytics","High-level KPIs, large key metrics, minimal detail, summary view, trend indicators, at-a-glance insights, executive summary","Brand colors, professional palette (blue/grey/white), accent for KPIs, red for alerts/concerns","KPI highlight colors: positive (green), negative (red), neutral (grey), trend arrow colors","KPI value animations (count-up), trend arrow direction animations, metric card hover lift, alert pulse effect","C-suite dashboards, business summary reports, decision-maker dashboards, strategic planning views","Detailed analyst dashboards, technical deep-dives, operational monitoring","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA","✗ Low (not mobile-optimized)","✗ Not applicable","Recharts 9/10, Chart.js 9/10, MUI 9/10","2020s Modern","Low",".exec-kpi { font-size: 3.5rem; font-weight: 800; } .exec-card { background: #FFFFFF; border-radius: 16px; padding: 32px; box-shadow: 0 4px 12px rgba(0,0,0,0.05); } .trend-up { color: #22C55E; } .trend-down { color: #EF4444; } .exec-card:hover { transform: translateY(-2px); transition: transform 200ms ease; }","{""type"":""tween"",""ease"":""easeInOut"",""duration"":0.3}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"31","Real-Time Monitoring","BI/Analytics","Live data updates, status indicators, alert notifications, streaming data visualization, active monitoring, streaming charts","Alert colors: critical (red #FF0000), warning (orange #FFA500), normal (green #22C55E), updating (blue animation)","Status indicator colors, chart line colors varying by metric, streaming data highlight colors","Real-time chart animations, alert pulse/glow, status indicator blink animation, smooth data stream updates, loading effect","System monitoring dashboards, DevOps dashboards, real-time analytics, stock market dashboards, live event tracking","Historical analysis, long-term trend reports, archived data dashboards","✓ Full","✓ Full","⚡ Good (real-time load)","✓ WCAG AA","◐ Medium","✗ Not applicable","Recharts 9/10, D3.js 10/10, Socket.io 10/10","2020s Modern","High",".status-indicator { width: 12px; height: 12px; border-radius: 50%; } .status-critical { background: #FF0000; animation: pulse-alert 1s infinite; } .status-normal { background: #22C55E; } @keyframes pulse-alert { 0%, 100% { box-shadow: 0 0 0 0 rgba(255,0,0,0.4); } 50% { box-shadow: 0 0 0 8px rgba(255,0,0,0); } } .live-badge { animation: blink 2s infinite; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"32","Drill-Down Analytics","BI/Analytics","Hierarchical data exploration, expandable sections, interactive drill-down paths, summary-to-detail flow, context preservation","Primary brand, breadcrumb colors, drill-level indicator colors, hierarchy depth colors","Drill-down path indicator colors, level-specific colors, highlight colors for selected level, transition colors","Drill-down expand animations, breadcrumb click transitions, smooth detail reveal, level change smooth, data reload animation","Sales analytics, product analytics, funnel analysis, multi-dimensional data exploration, business intelligence","Simple linear data, single-metric dashboards, streaming real-time dashboards","✓ Full","✓ Full","⚡ Good","✓ WCAG AA","◐ Medium","✗ Not applicable","D3.js 10/10, Recharts 8/10, AG Grid 9/10","2020s Modern","High",".breadcrumb { display: flex; gap: 8px; align-items: center; } .breadcrumb-item { color: #6B7280; cursor: pointer; transition: color 150ms; } .breadcrumb-item:hover { color: #3B82F6; } .drill-section { overflow: hidden; transition: max-height 300ms ease; } .drill-row { cursor: pointer; } .drill-row:hover { background: #EFF6FF; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"33","Comparative Analysis Dashboard","BI/Analytics","Side-by-side comparisons, period-over-period metrics, A/B test results, regional comparisons, performance benchmarks","Comparison colors: primary (blue), comparison (orange/purple), delta indicator (green/red)","Winning metric color (green), losing metric color (red), neutral comparison (grey), benchmark colors","Comparison bar animations (grow to value), delta indicator animations (direction arrows), highlight on compare","Period-over-period reporting, A/B test dashboards, market comparison, competitive analysis, regional performance","Single metric dashboards, future projections (use forecasting), real-time only (no historical)","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA","◐ Medium","✗ Not applicable","Recharts 9/10, Chart.js 9/10, D3.js 9/10","2020s Modern","Medium",".compare-container { display: grid; grid-template-columns: 1fr 1fr; gap: 24px; } .compare-bar { height: 24px; border-radius: 4px; transition: width 500ms ease-out; } .compare-primary { background: #3B82F6; } .compare-secondary { background: #F97316; } .delta-positive { color: #22C55E; } .delta-negative { color: #EF4444; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"34","Predictive Analytics","BI/Analytics","Forecast lines, confidence intervals, trend projections, scenario modeling, AI-driven insights, anomaly detection visualization","Forecast line color (distinct from actual), confidence interval shading, anomaly highlight (red alert), trend colors","High confidence (dark color), low confidence (light color), anomaly colors (red/orange), normal trend (green/blue)","Forecast line animation on draw, confidence band fade-in, anomaly pulse alert, smoothing function animations","Forecasting dashboards, anomaly detection systems, trend prediction dashboards, AI-powered analytics, budget planning","Historical-only dashboards, simple reporting, real-time operational dashboards","✓ Full","✓ Full","⚠ Good (computation)","✓ WCAG AA","◐ Medium","✗ Not applicable","D3.js 10/10, Recharts 8/10, TensorFlow.js 8/10","2020s Modern","High",".forecast-line { stroke: #8B5CF6; stroke-dasharray: 8 4; stroke-width: 2; } .confidence-band { fill: rgba(139,92,246,0.15); } .anomaly-point { fill: #EF4444; animation: anomaly-pulse 1.5s infinite; } @keyframes anomaly-pulse { 0%, 100% { r: 6; } 50% { r: 10; } } .actual-line { stroke: #3B82F6; stroke-width: 2; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"35","User Behavior Analytics","BI/Analytics","Funnel visualization, user flow diagrams, conversion tracking, engagement metrics, user journey mapping, cohort analysis","Funnel stage colors: high engagement (green), drop-off (red), conversion (blue), user flow arrows (grey)","Stage completion colors (success), abandonment colors (warning), engagement levels (gradient), cohort colors","Funnel animation (fill-down), flow diagram animations (connection draw), conversion pulse, engagement bar fill","Conversion funnel analysis, user journey tracking, engagement analytics, cohort analysis, retention tracking","Real-time operational metrics, technical system monitoring, financial transactions","✓ Full","✓ Full","⚡ Good","✓ WCAG AA","✓ Good","✗ Not applicable","Recharts 9/10, Chart.js 9/10, D3.js 9/10","2020s Modern","Medium",".funnel-stage { transition: all 400ms ease; } .funnel-stage:hover { filter: brightness(1.1); } .flow-arrow { stroke: #9CA3AF; stroke-width: 2; marker-end: url(#arrowhead); } .conversion-badge { background: #22C55E; color: #FFFFFF; padding: 4px 12px; border-radius: 12px; font-weight: 600; } .dropoff-indicator { color: #EF4444; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"36","Financial Dashboard","BI/Analytics","Revenue metrics, profit/loss visualization, budget tracking, financial ratios, portfolio performance, cash flow, audit trail","Financial colors: profit (green #22C55E), loss (red #EF4444), neutral (grey), trust (dark blue #003366)","Revenue highlight (green), expenses (red), budget variance (orange/red), balance (grey), accuracy (blue)","Number animations (count-up), trend direction indicators, percentage change animations, profit/loss color transitions","Financial reporting, accounting dashboards, portfolio tracking, budget monitoring, banking analytics","Simple business dashboards, entertainment/social metrics, non-financial data","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AAA","✗ Low","✗ Not applicable","Recharts 9/10, Chart.js 9/10, AG Grid 10/10","2020s Modern","Medium",".financial-metric { font-family: 'SF Mono', 'Roboto Mono', monospace; font-weight: 600; } .profit { color: #22C55E; } .loss { color: #EF4444; } .currency { font-size: 2.5rem; } .financial-card { background: #FFFFFF; border: 1px solid #E5E7EB; border-radius: 8px; padding: 20px; } .variance-positive::before { content: '▲'; margin-right: 4px; } .variance-negative::before { content: '▼'; margin-right: 4px; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"37","Sales Intelligence Dashboard","BI/Analytics","Deal pipeline, sales metrics, territory performance, sales rep leaderboard, win-loss analysis, quota tracking, forecast accuracy","Sales colors: won (green), lost (red), in-progress (blue), blocked (orange), quota met (gold), quota missed (grey)","Pipeline stage colors, rep performance colors, quota achievement colors, forecast accuracy colors","Deal movement animations, metric updates, leaderboard ranking changes, gauge needle movements, status change highlights","CRM dashboards, sales management, opportunity tracking, performance management, quota planning","Marketing analytics, customer support metrics, HR dashboards","✓ Full","✓ Full","⚡ Good","✓ WCAG AA","◐ Medium","✗ Not applicable","Recharts 9/10, Chart.js 9/10","2020s Modern","Medium",".pipeline-stage { padding: 16px; border-radius: 8px; transition: all 200ms ease; } .stage-won { background: #DCFCE7; border-left: 4px solid #22C55E; } .stage-lost { background: #FEE2E2; border-left: 4px solid #EF4444; } .stage-active { background: #DBEAFE; border-left: 4px solid #3B82F6; } .leaderboard-row { display: flex; align-items: center; gap: 12px; padding: 12px; } .quota-gauge { stroke-linecap: round; transition: stroke-dashoffset 500ms ease; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"38","Neubrutalism (Classic)","General","Bold borders, black outlines, primary colors, thick shadows, no gradients, flat colors, 45° shadows, playful, Gen Z","#FFEB3B (Yellow), #FF5252 (Red), #2196F3 (Blue), #000000 (Black borders)","Limited accent colors, high contrast combinations, no gradients allowed","box-shadow: 4px 4px 0 #000, border: 3px solid #000, no gradients, sharp corners (0px), bold typography","Gen Z brands, startups, creative agencies, Figma-style apps, Notion-style interfaces, tech blogs","Luxury brands, finance, healthcare, conservative industries (too playful)","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AAA","✓ High","✓ High","Tailwind 10/10, Bootstrap 8/10","2020s Modern","Low",".neubrutalist { background: #FFEB3B; border: 3px solid #000000; border-radius: 0; box-shadow: 4px 4px 0 #000000; font-weight: 700; transition: all 100ms ease; } .neubrutalist:hover { transform: translate(-2px, -2px); box-shadow: 6px 6px 0 #000000; } .neubrutalist:active { transform: translate(2px, 2px); box-shadow: 2px 2px 0 #000000; }","{""type"":""spring"",""stiffness"":200,""damping"":10,""mass"":0.8}","{""hidden"":{""opacity"":0,""scale"":0.95,""x"":-10,""filter"":""brightness(2)""},""visible"":{""opacity"":1,""scale"":1,""x"":0,""filter"":""brightness(1)""},""hover"":{""x"":5,""filter"":""hue-rotate(90deg)""}}"
"39","Bento Box Grid","General","Modular cards, asymmetric grid, varied sizes, Apple-style, dashboard tiles, negative space, clean hierarchy, cards","Neutral base + brand accent, #FFFFFF, #F5F5F5, brand primary","Subtle gradients, shadow variations, accent highlights for interactive cards","grid-template with varied spans, rounded-xl (16px), subtle shadows, hover scale (1.02), smooth transitions","Dashboards, product pages, portfolios, Apple-style marketing, feature showcases, SaaS","Dense data tables, text-heavy content, real-time monitoring","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA","✓ High","✓ High","Tailwind 10/10, CSS Grid 10/10","2020s Apple","Low",".bento-grid { display: grid; grid-template-columns: repeat(4, 1fr); gap: 16px; } .bento-card { background: #FFFFFF; border-radius: 16px; padding: 24px; box-shadow: 0 2px 8px rgba(0,0,0,0.04); transition: all 250ms ease; } .bento-card:hover { transform: scale(1.02); box-shadow: 0 8px 24px rgba(0,0,0,0.08); } .bento-large { grid-column: span 2; grid-row: span 2; }","{""type"":""tween"",""ease"":""easeInOut"",""duration"":0.3}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"40","Y2K Aesthetic","General","Neon pink, chrome, metallic, bubblegum, iridescent, glossy, retro-futurism, 2000s, futuristic nostalgia","#FF69B4 (Hot Pink), #00FFFF (Cyan), #C0C0C0 (Silver), #9400D3 (Purple)","Metallic gradients, glossy overlays, iridescent effects, chrome textures","linear-gradient metallic, glossy buttons, 3D chrome effects, glow animations, bubble shapes","Fashion brands, music platforms, Gen Z brands, nostalgia marketing, entertainment, youth-focused","B2B enterprise, healthcare, finance, conservative industries, elderly users","✓ Full","◐ Partial","⚠ Good","⚠ Check contrast","✓ Good","✓ High","Tailwind 8/10, CSS-in-JS 9/10","Y2K 2000s","Medium",".y2k { background: linear-gradient(135deg, #FF69B4 0%, #00FFFF 50%, #9400D3 100%); border-radius: 20px; } .y2k-chrome { background: linear-gradient(180deg, #E8E8E8 0%, #C0C0C0 50%, #A0A0A0 100%); border: 2px solid #FFFFFF; box-shadow: 0 4px 15px rgba(255,105,180,0.4); } .y2k-glow { text-shadow: 0 0 10px #FF69B4, 0 0 20px #00FFFF; animation: y2k-pulse 2s infinite; } @keyframes y2k-pulse { 0%, 100% { filter: brightness(1); } 50% { filter: brightness(1.2); } }","{""type"":""tween"",""ease"":""steps(5)"",""duration"":0.1}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"41","Cyberpunk UI","General","Neon, dark mode, terminal, HUD, sci-fi, glitch, dystopian, futuristic, matrix, tech noir","#00FF00 (Matrix Green), #FF00FF (Magenta), #00FFFF (Cyan), #0D0D0D (Dark)","Neon gradients, scanline overlays, glitch colors, terminal green accents","Neon glow (text-shadow), glitch animations (skew/offset), scanlines (::before overlay), terminal fonts","Gaming platforms, tech products, crypto apps, sci-fi applications, developer tools, entertainment","Corporate enterprise, healthcare, family apps, conservative brands, elderly users","✗ No","✓ Only","⚠ Moderate","⚠ Limited (dark+neon)","◐ Medium","◐ Medium","Tailwind 8/10, Custom CSS 10/10","2020s Cyberpunk","Medium",".cyberpunk { background: #0D0D0D; color: #00FF00; font-family: 'Share Tech Mono', monospace; text-shadow: 0 0 10px #00FF00, 0 0 20px #00FF00; } .cyberpunk::before { content: ''; position: absolute; inset: 0; background: repeating-linear-gradient(0deg, transparent, transparent 2px, rgba(0,255,0,0.03) 2px, rgba(0,255,0,0.03) 4px); pointer-events: none; } .cyberpunk-glitch { animation: glitch 0.3s infinite; } @keyframes glitch { 0%, 100% { transform: translate(0); } 20% { transform: translate(-2px, 2px); } 40% { transform: translate(2px, -2px); } }","{""type"":""tween"",""ease"":""steps(5)"",""duration"":0.1}","{""hidden"":{""opacity"":0,""scale"":0.95,""x"":-10,""filter"":""brightness(2)""},""visible"":{""opacity"":1,""scale"":1,""x"":0,""filter"":""brightness(1)""},""hover"":{""x"":5,""filter"":""hue-rotate(90deg)""}}"
"42","Organic Biophilic","General","Nature, organic shapes, green, sustainable, rounded, flowing, wellness, earthy, natural textures","#228B22 (Forest Green), #8B4513 (Earth Brown), #87CEEB (Sky Blue), #F5F5DC (Beige)","Natural gradients, earth tones, sky blues, organic textures, wood/stone colors","Rounded corners (16-24px), organic curves (border-radius variations), natural shadows, flowing SVG shapes","Wellness apps, sustainability brands, eco products, health apps, meditation, organic food brands","Tech-focused products, gaming, industrial, urban brands","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA","✓ High","✓ High","Tailwind 10/10, CSS 10/10","2020s Sustainable","Low",".biophilic { background: linear-gradient(180deg, #F5F5DC 0%, #E8F5E9 100%); border-radius: 24px 16px 24px 16px; box-shadow: 0 8px 32px rgba(34,139,34,0.15); } .biophilic-card { background: #FFFFFF; border-radius: 20px; padding: 24px; border: 1px solid rgba(139,69,19,0.1); } .biophilic-accent { color: #228B22; } .biophilic-shape { border-radius: 60% 40% 30% 70% / 60% 30% 70% 40%; transition: border-radius 500ms ease; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"43","AI-Native UI","General","Chatbot, conversational, voice, assistant, agentic, ambient, minimal chrome, streaming text, AI interactions","Neutral + single accent, #6366F1 (AI Purple), #10B981 (Success), #F5F5F5 (Background)","Status indicators, streaming highlights, context card colors, subtle accent variations","Typing indicators (3-dot pulse), streaming text animations, pulse animations, context cards, smooth reveals","AI products, chatbots, voice assistants, copilots, AI-powered tools, conversational interfaces","Traditional forms, data-heavy dashboards, print-first content","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA","✓ High","✓ High","Tailwind 10/10, React 10/10","2020s AI-Era","Low",".ai-native { background: #F5F5F5; font-family: system-ui, sans-serif; } .ai-message { background: #FFFFFF; border-radius: 16px; padding: 16px; box-shadow: 0 2px 8px rgba(0,0,0,0.04); } .ai-typing { display: flex; gap: 4px; } .ai-typing span { width: 8px; height: 8px; background: #6366F1; border-radius: 50%; animation: typing-bounce 1.4s infinite; } .ai-typing span:nth-child(2) { animation-delay: 0.2s; } .ai-typing span:nth-child(3) { animation-delay: 0.4s; } @keyframes typing-bounce { 0%, 60%, 100% { transform: translateY(0); } 30% { transform: translateY(-8px); } }","{""type"":""tween"",""ease"":""easeInOut"",""duration"":0.3}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"44","Memphis Design","General","80s, geometric, playful, postmodern, shapes, patterns, squiggles, triangles, neon, abstract, bold","#FF71CE (Hot Pink), #FFCE5C (Yellow), #86CCCA (Teal), #6A7BB4 (Blue Purple)","Complementary geometric colors, pattern fills, contrasting accent shapes","transform: rotate(), clip-path: polygon(), mix-blend-mode, repeating patterns, bold shapes","Creative agencies, music sites, youth brands, event promotion, artistic portfolios, entertainment","Corporate finance, healthcare, legal, elderly users, conservative brands","✓ Full","✓ Full","⚡ Excellent","⚠ Check contrast","✓ Good","◐ Medium","Tailwind 9/10, CSS 10/10","1980s Postmodern","Medium",".memphis { background: #FFFFFF; position: relative; } .memphis-shape { position: absolute; } .memphis-triangle { width: 0; height: 0; border-left: 30px solid transparent; border-right: 30px solid transparent; border-bottom: 50px solid #FF71CE; transform: rotate(15deg); } .memphis-circle { width: 60px; height: 60px; background: #FFCE5C; border-radius: 50%; } .memphis-squiggle { border: 4px solid #86CCCA; border-radius: 50%; width: 100px; height: 50px; border-top-color: transparent; transform: rotate(-20deg); }","{""type"":""spring"",""stiffness"":200,""damping"":10,""mass"":0.8}","{""hidden"":{""opacity"":0,""scale"":0.5,""rotate"":-5},""visible"":{""opacity"":1,""scale"":1,""rotate"":0},""hover"":{""scale"":1.1,""rotate"":3}}"
"45","Vaporwave","General","Synthwave, retro-futuristic, 80s-90s, neon, glitch, nostalgic, sunset gradient, dreamy, aesthetic","#FF71CE (Pink), #01CDFE (Cyan), #05FFA1 (Mint), #B967FF (Purple)","Sunset gradients, glitch overlays, VHS effects, neon accents, pastel variations","text-shadow glow, linear-gradient, filter: hue-rotate(), glitch animations, retro scan lines","Music platforms, gaming, creative portfolios, tech startups, entertainment, artistic projects","Business apps, e-commerce, education, healthcare, enterprise software","✓ Full","✓ Dark focused","⚠ Moderate","⚠ Poor (motion)","◐ Medium","◐ Medium","Tailwind 8/10, CSS-in-JS 9/10","1980s-90s Retro","Medium",".vaporwave { background: linear-gradient(180deg, #FF71CE 0%, #B967FF 50%, #01CDFE 100%); color: #FFFFFF; text-shadow: 0 0 10px #FF71CE, 0 0 20px #01CDFE, 0 0 30px #B967FF; } .vaporwave-text { font-family: 'VT323', monospace; letter-spacing: 0.1em; } .vaporwave-grid { background-image: linear-gradient(#B967FF 1px, transparent 1px), linear-gradient(90deg, #B967FF 1px, transparent 1px); background-size: 40px 40px; animation: grid-scroll 20s linear infinite; } @keyframes grid-scroll { 0% { background-position: 0 0; } 100% { background-position: 0 40px; } }","{""type"":""tween"",""ease"":""steps(5)"",""duration"":0.1}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"46","Dimensional Layering","General","Depth, overlapping, z-index, layers, 3D, shadows, elevation, floating, cards, spatial hierarchy","Neutral base (#FFFFFF, #F5F5F5, #E0E0E0) + brand accent for elevated elements","Shadow variations (sm/md/lg/xl), elevation colors, highlight colors for top layers","z-index stacking, box-shadow elevation (4 levels), transform: translateZ(), backdrop-filter, parallax","Dashboards, card layouts, modals, navigation, product showcases, SaaS interfaces","Print-style layouts, simple blogs, low-end devices, flat design requirements","✓ Full","✓ Full","⚠ Good","⚠ Moderate (SR issues)","✓ Good","✓ High","Tailwind 10/10, MUI 10/10, Chakra 10/10","2020s Modern","Medium",".layer-base { background: #F5F5F5; } .layer-1 { background: #FFFFFF; box-shadow: 0 1px 3px rgba(0,0,0,0.08); z-index: 1; } .layer-2 { background: #FFFFFF; box-shadow: 0 4px 12px rgba(0,0,0,0.1); z-index: 2; } .layer-3 { background: #FFFFFF; box-shadow: 0 8px 24px rgba(0,0,0,0.12); z-index: 3; } .layer-4 { background: #FFFFFF; box-shadow: 0 16px 48px rgba(0,0,0,0.15); z-index: 4; } .layer-floating { transform: translateY(-4px); transition: all 250ms ease; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
