No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Conversion Optimization,Layout_CSS,Grid_System_Config,Bento_Layout_Map,Responsive_Strategy,Platform_Support,Mobile_Adaptation,Safe_Area_CSS,Gesture_Hints
23,Newsletter / Content First,"newsletter, content, writer, blog, subscribe","1. Hero (Value Prop + Form), 2. Recent Issues/Archives, 3. Social Proof (Subscriber count), 4. About Author",Hero inline form + Sticky header form,Minimalist. Paper-like background. Text focus. Accent color for Subscribe.,"Text highlight animations, typewriter effect, subtle fade-in","Single field form (Email only). Show 'Join X,000 readers'. Read sample link.",.newsletter-hero { max-width: 600px; margin: 0 auto; padding: 8rem 1.5rem; text-align: center; } .subscribe-form { display: flex; gap: 0.5rem; justify-content: center; } .archives-list { display: flex; flex-direction: column; gap: 1rem; } .issue-card { display: flex; justify-content: space-between; padding: 1rem; border-bottom: 1px solid #e5e7eb; },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
24,Webinar Registration,"webinar, registration, event, training, live","1. Hero (Topic + Timer + Form), 2. What you'll learn, 3. Speaker Bio, 4. Urgency/Bonuses, 5. Form (again)",Hero (Right side form) + Bottom anchor,Urgency: Red/Orange. Professional: Blue/Navy. Form: High contrast white.,"Countdown timer, speaker avatar float, urgent ticker",Limited seats logic. 'Live' indicator. Auto-fill timezone.,".webinar-hero { display: grid; grid-template-columns: 1fr 400px; gap: 4rem; align-items: start; min-height: 100vh; padding: 4rem 0; } .registration-form { background: #fff; padding: 2rem; border-radius: 1rem; box-shadow: 0 10px 40px rgba(0,0,0,0.1); position: sticky; top: 2rem; } .learn-list { display: grid; grid-template-columns: repeat(2, 1fr); gap: 1.5rem; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
25,Enterprise Gateway,"enterprise, corporate, gateway, solutions, portal","1. Hero (Video/Mission), 2. Solutions by Industry, 3. Solutions by Role, 4. Client Logos, 5. Contact Sales",Contact Sales (Primary) + Login (Secondary),Corporate: Navy/Grey. High integrity. Conservative accents.,"Slow video background, logo carousel, tab switching for industries",Path selection (I am a...). Mega menu navigation. Trust signals prominent.,".enterprise-hero { min-height: 90vh; display: flex; align-items: center; background: linear-gradient(135deg, #1e3a5f, #0f172a); } .solutions-tabs { display: flex; gap: 1rem; border-bottom: 1px solid #e5e7eb; } .solutions-grid { display: grid; grid-template-columns: repeat(3, 1fr); gap: 2rem; } .logos-carousel { display: flex; gap: 4rem; align-items: center; animation: scroll 20s linear infinite; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
26,Portfolio Grid,"portfolio, grid, showcase, gallery, masonry","1. Hero (Name/Role), 2. Project Grid (Masonry), 3. About/Philosophy, 4. Contact",Project Card Hover + Footer Contact,Neutral background (let work shine). Text: Black/White. Accent: Minimal.,"Image lazy load reveal, hover overlay info, lightbox view",Visuals first. Filter by category. Fast loading essential.,.portfolio-hero { min-height: 50vh; display: flex; flex-direction: column; justify-content: center; } .masonry-grid { columns: 3; column-gap: 1.5rem; } @media (max-width: 768px) { .masonry-grid { columns: 1; } } .project-card { break-inside: avoid; margin-bottom: 1.5rem; position: relative; overflow: hidden; },"{""cols"":12,""gap"":""1.5rem"",""mobile_cols"":1,""row_height"":""auto""}","[{""id"":""hero"",""colSpan"":8,""rowSpan"":2,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""stat1"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""stat2"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature1"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature2"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature3"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
27,Horizontal Scroll Journey,"horizontal, scroll, journey, gallery, storytelling, panoramic","1. Intro (Vertical), 2. The Journey (Horizontal Track), 3. Detail Reveal, 4. Vertical Footer",Floating Sticky CTA or End of Horizontal Track,Continuous palette transition. Chapter colors. Progress bar #000000.,"Scroll-jacking (careful), parallax layers, horizontal slide, progress indicator",Immersive product discovery. High engagement. Keep navigation visible.,.horizontal-wrapper { overflow-x: hidden; } .horizontal-track { display: flex; width: max-content; } .horizontal-section { width: 100vw; height: 100vh; flex-shrink: 0; display: flex; align-items: center; justify-content: center; } .scroll-progress { position: fixed; bottom: 2rem; left: 50%; transform: translateX(-50%); },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
28,Bento Grid Showcase,"bento, grid, features, modular, apple-style, showcase","1. Hero, 2. Bento Grid (Key Features), 3. Detail Cards, 4. Tech Specs, 5. CTA",Floating Action Button or Bottom of Grid,Card backgrounds: #F5F5F7 or Glass. Icons: Vibrant brand colors. Text: Dark.,"Hover card scale (1.02), video inside cards, tilt effect, staggered reveal",Scannable value props. High information density without clutter. Mobile stack.,".bento-grid { display: grid; grid-template-columns: repeat(4, 1fr); grid-template-rows: repeat(3, 200px); gap: 1rem; } .bento-item.large { grid-column: span 2; grid-row: span 2; } .bento-item { background: #f5f5f7; border-radius: 1.5rem; padding: 2rem; } @media (max-width: 768px) { .bento-grid { grid-template-columns: 1fr; } .bento-item.large { grid-column: span 1; grid-row: span 1; } }","{""cols"":12,""gap"":""1.5rem"",""mobile_cols"":1,""row_height"":""auto""}","[{""id"":""hero"",""colSpan"":8,""rowSpan"":2,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""stat1"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""stat2"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature1"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature2"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature3"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}}]",Desktop: Complex Grid (Auto-fit). Tablet: 2-col Masonry. Mobile: Linear Stack (Order: Hero -> Stats -> Features).,,,,
29,Interactive 3D Configurator,"3d, configurator, customizer, interactive, product","1. Hero (Configurator), 2. Feature Highlight (synced), 3. Price/Specs, 4. Purchase",Inside Configurator UI + Sticky Bottom Bar,Neutral studio background. Product: Realistic materials. UI: Minimal overlay.,"Real-time rendering, material swap animation, camera rotate/zoom, light reflection",Increases ownership feeling. 360 view reduces return rates. Direct add-to-cart.,.configurator-layout { display: grid; grid-template-columns: 1fr 350px; height: 100vh; } .canvas-container { background: #f5f5f5; } .config-panel { padding: 2rem; overflow-y: auto; } .option-group { margin-bottom: 2rem; } .color-swatches { display: flex; gap: 0.5rem; } .sticky-price { position: sticky; bottom: 0; background: #fff; padding: 1.5rem; border-top: 1px solid #e5e7eb; },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
30,AI-Driven Dynamic Landing,"ai, dynamic, personalized, adaptive, generative","1. Prompt/Input Hero, 2. Generated Result Preview, 3. How it Works, 4. Value Prop",Input Field (Hero) + 'Try it' Buttons,Adaptive to user input. Dark mode for compute feel. Neon accents.,"Typing text effects, shimmering generation loaders, morphing layouts","Immediate value demonstration. 'Show, don't tell'. Low friction start.",.ai-hero { min-height: 100vh; display: flex; flex-direction: column; align-items: center; justify-content: center; background: #0a0a0a; } .prompt-input { width: 100%; max-width: 600px; padding: 1.5rem; background: #1a1a1a; border: 1px solid #333; border-radius: 1rem; color: #fff; } .result-preview { margin-top: 2rem; padding: 2rem; background: #111; border-radius: 1rem; min-height: 200px; },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
31,AI Product Hero,"ai, streaming, demo, try-it, interactive, hero","1. Hero with Live Demo Input, 2. Streaming Output Display, 3. Use Cases, 4. Pricing, 5. CTA",Input field in hero + Streaming demo area,Dark mode: #0A0A0A bg. AI Purple #7C3AED. Success Green #10B981. Streaming text white.,"Typing indicator animation, streaming text reveal, input focus glow, result fade-in",Let users try immediately. Show AI working in real-time. Reduce friction to first interaction.,.ai-product-hero { min-height: 100vh; background: #0a0a0a; color: #fff; display: flex; align-items: center; } .demo-container { display: grid; grid-template-columns: 1fr 1fr; gap: 3rem; } .input-area { background: #111; border-radius: 1rem; padding: 1.5rem; } .output-stream { background: #111; border-radius: 1rem; padding: 1.5rem; min-height: 300px; font-family: monospace; },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""text"",""colSpan"":6,""rowSpan"":1,""align"":""center-left""},{""id"":""visual"",""colSpan"":6,""rowSpan"":1,""align"":""center-right""}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
32,Bento Grid Feature,"bento, grid, features, modular, apple-style, cards","1. Hero, 2. Bento Grid (3-6 feature cards), 3. Detail Sections, 4. CTA",Inside prominent grid cards + Bottom CTA,Card bg: #FFFFFF or glass. Page bg: #F5F5F7. Icons: Brand accent. Text: #1D1D1F.,"Card hover scale (1.02), staggered reveal, video autoplay in cards, parallax subtle",Feature hierarchy through card size. Large card = primary feature. Scannable value props.,".feature-bento { display: grid; grid-template-columns: repeat(3, 1fr); gap: 1rem; } .bento-card { background: #fff; border-radius: 1.5rem; padding: 2rem; transition: transform 0.3s ease; } .bento-card:hover { transform: scale(1.02); } .bento-card.featured { grid-column: span 2; } @media (max-width: 768px) { .feature-bento { grid-template-columns: 1fr; } .bento-card.featured { grid-column: span 1; } }","{""cols"":12,""gap"":""1.5rem"",""mobile_cols"":1,""row_height"":""auto""}","[{""id"":""hero"",""colSpan"":8,""rowSpan"":2,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""stat1"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""stat2"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature1"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature2"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature3"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}}]",Desktop: Complex Grid (Auto-fit). Tablet: 2-col Masonry. Mobile: Linear Stack (Order: Hero -> Stats -> Features).,,,,
33,Social Proof Wall,"testimonials, reviews, grid, social-proof, trust, wall, masonry, marquee, infinite scroll, video testimonial, lazy load, avatar, platform badges, Trustpilot, G2","1. Hero, 2. Testimonial Grid/Masonry, 3. Key Metrics (X users, Y reviews), 4. CTA",After testimonial wall + Floating CTA,Trust colors. Avatar photos. Star rating gold #F59E0B. Quote text dark. Card bg light.,"Masonry layout animation, testimonial carousel, count-up metrics, logo carousel fade, infinite marquee, video testimonial embed",Volume of social proof. Show faces and names. Include company logos. Real metrics.,".testimonial-masonry { columns: 3; column-gap: 1rem; } .testimonial-card { break-inside: avoid; margin-bottom: 1rem; background: #fff; padding: 1.5rem; border-radius: 1rem; box-shadow: 0 2px 10px rgba(0,0,0,0.05); } /* Infinite Marquee */ .testimonial-marquee { display: flex; animation: marquee 30s linear infinite; gap: 2rem; } .testimonial-marquee:hover { animation-play-state: paused; } @keyframes marquee { from { transform: translateX(0); } to { transform: translateX(-50%); } } /* Lazy Load Avatars */ .avatar { width: 48px; height: 48px; border-radius: 50%; background: linear-gradient(90deg, #f0f0f0 25%, #e0e0e0 50%, #f0f0f0 75%); background-size: 200% 100%; animation: shimmer 1.5s infinite; } .avatar.loaded { animation: none; background: none; } @keyframes shimmer { 0% { background-position: 200% 0; } 100% { background-position: -200% 0; } } /* Platform Badge */ .platform-badge { display: flex; align-items: center; gap: 0.5rem; font-size: 0.75rem; color: #666; margin-top: 0.75rem; } .platform-badge img { height: 16px; } .platform-badge.trustpilot { color: #00b67a; } .platform-badge.g2 { color: #ff492c; } /* Video testimonial */ .video-testimonial { position: relative; border-radius: 1rem; overflow: hidden; aspect-ratio: 16/9; } .video-testimonial video { width: 100%; height: 100%; object-fit: cover; } .video-play-btn { position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); width: 64px; height: 64px; background: rgba(255,255,255,0.9); border-radius: 50%; display: flex; align-items: center; justify-content: center; cursor: pointer; transition: transform 0.2s ease; } .video-play-btn:hover { transform: translate(-50%, -50%) scale(1.1); } @media (prefers-reduced-motion: reduce) { .testimonial-marquee { animation: none; } .avatar { animation: none; } } @media (max-width: 768px) { .testimonial-masonry { columns: 1; } } .metrics-row { display: flex; justify-content: center; gap: 4rem; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
34,Interactive Demo Section,"demo, interactive, try, product, preview, hands-on","1. Hero, 2. Interactive Demo Embed, 3. Key Features Explained, 4. Full CTA",Demo interaction points + After demo CTA,Interface colors match product. Demo highlights in brand accent. Instructions subtle.,"Demo step highlighting, tooltip guides, success animations, progress indicators",Guided product experience. Reduce signup friction. Show value before commitment.,".demo-section { padding: 6rem 0; } .demo-embed { max-width: 1000px; margin: 0 auto; border-radius: 1rem; overflow: hidden; box-shadow: 0 20px 60px rgba(0,0,0,0.15); } .demo-steps { display: flex; justify-content: center; gap: 2rem; margin-top: 3rem; } .step-indicator { display: flex; align-items: center; gap: 0.5rem; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
35,Comparison Table Section,"comparison, versus, table, features, competitors, sticky header, scroll shadow, horizontal scroll mobile, tooltips, feature highlight","1. Hero, 2. Comparison Table (You vs Others), 3. Why Choose Us, 4. CTA",Your column highlighted + Below table CTA,Your column: Light accent bg #EFF6FF. Checkmarks: #22C55E. X marks: #EF4444.,"Table row hover, sticky header, feature expand, checkbox animations, scroll shadow indicator, tooltip reveal",Honest comparison. Highlight strengths. Address weaknesses. Clear winner visual. Add tooltips for complex features.,".comparison-container { overflow-x: auto; -webkit-overflow-scrolling: touch; position: relative; } .comparison-table { width: 100%; border-collapse: collapse; min-width: 700px; } .comparison-table th { position: sticky; top: 0; background: #fff; padding: 1rem; z-index: 10; } .comparison-table.scrolled th { box-shadow: 0 2px 8px rgba(0,0,0,0.1); } .comparison-table td { padding: 1rem; text-align: center; border-bottom: 1px solid #e5e7eb; } .your-column { background: #eff6ff; } /* Feature Tooltip */ .feature-info { display: inline-flex; align-items: center; gap: 0.25rem; cursor: help; position: relative; } .feature-tooltip { position: absolute; bottom: 100%; left: 50%; transform: translateX(-50%); background: #1f2937; color: white; padding: 0.5rem 0.75rem; border-radius: 6px; font-size: 0.75rem; white-space: nowrap; opacity: 0; visibility: hidden; transition: all 0.2s; z-index: 20; } .feature-info:hover .feature-tooltip { opacity: 1; visibility: visible; } /* Mobile Horizontal Scroll Indicator */ @media (max-width: 768px) { .comparison-container::after { content: '→ Scroll'; position: absolute; right: 0; top: 50%; background: linear-gradient(90deg, transparent, rgba(255,255,255,0.95)); padding: 0.5rem 1rem; font-size: 0.75rem; color: #666; pointer-events: none; } }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack with horizontal scroll indicator. Order preserved.,,,,
36,Pricing Calculator Interactive,"pricing, calculator, interactive, estimate, cost, quote","1. Hero with Calculator, 2. Sliding/Input Controls, 3. Live Price Update, 4. CTA to Purchase",Calculator result area + Proceed to checkout CTA,Neutral calculator bg. Price highlight large. Slider track brand color. Result card accent.,"Slider smooth animation, price counter animation, package recommendation highlight",Personalized pricing. Show value for cost. Reduce pricing page anxiety.,".calculator-section { padding: 6rem 0; } .calculator-card { max-width: 600px; margin: 0 auto; background: #fff; padding: 3rem; border-radius: 1.5rem; box-shadow: 0 10px 40px rgba(0,0,0,0.1); } .slider-group { margin-bottom: 2rem; } .price-display { font-size: 3rem; font-weight: 700; text-align: center; margin: 2rem 0; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
37,Exit Intent Modal,"exit, modal, popup, retention, last-chance, offer",N/A - Overlay pattern,Modal center screen,Urgency: #EF4444 accent. Offer: #22C55E highlight. Modal: White with shadow. Overlay: Dark 60%.,"Fade-in modal (300ms), subtle scale entrance, countdown timer if time-limited",One-time offer. Clear value prop. Easy dismiss. Don't annoy. A/B test triggers.,".modal-overlay { position: fixed; inset: 0; background: rgba(0,0,0,0.6); display: flex; align-items: center; justify-content: center; z-index: 1000; opacity: 0; transition: opacity 0.3s ease; } .modal-overlay.active { opacity: 1; } .modal-content { background: #fff; padding: 2.5rem; border-radius: 1rem; max-width: 500px; transform: scale(0.9); transition: transform 0.3s ease; } .modal-overlay.active .modal-content { transform: scale(1); }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
38,Floating CTA Bar,"sticky, floating, cta, bar, bottom, persistent",N/A - UI pattern element,Bottom sticky bar with primary CTA,Brand primary for CTA button. Bar bg: White or dark with blur. Text: High contrast.,"Slide up on scroll, hide on scroll down, appear on intent, shadow on separation",Persistent conversion point. Don't obstruct content. Show on scroll intent.,".floating-cta { position: fixed; bottom: 0; left: 0; right: 0; background: rgba(255,255,255,0.95); backdrop-filter: blur(10px); padding: 1rem 2rem; display: flex; justify-content: space-between; align-items: center; transform: translateY(100%); transition: transform 0.3s ease; box-shadow: 0 -4px 20px rgba(0,0,0,0.1); z-index: 100; } .floating-cta.visible { transform: translateY(0); }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
39,Video Background Hero,"video, hero, background, cinematic, immersive, visual, lazy video, IntersectionObserver, prefers-reduced-motion, poster fallback, autoplay muted","1. Video Hero with Overlay, 2. Value Prop Text, 3. Features, 4. CTA",Center hero over video + Below fold CTA,Dark overlay 40-60% on video. White/light text. CTA high contrast button.,"Video autoplay muted loop, text fade-in, parallax scroll, video pause on CTA hover, lazy load reveal, reduced motion fallback",Emotional connection. Compress video for performance. Poster image fallback. Mobile: static image. Use IntersectionObserver for lazy loading. Respect prefers-reduced-motion.,".video-bg-hero { position: relative; min-height: 100vh; overflow: hidden; background-size: cover; background-position: center; } .video-bg-hero video { position: absolute; top: 50%; left: 50%; min-width: 100%; min-height: 100%; transform: translate(-50%, -50%); object-fit: cover; z-index: -1; opacity: 0; transition: opacity 0.5s; } .video-bg-hero video.loaded { opacity: 1; } .hero-overlay { position: absolute; inset: 0; background: rgba(0,0,0,0.5); } .hero-content { position: relative; z-index: 1; display: flex; flex-direction: column; align-items: center; justify-content: center; min-height: 100vh; color: #fff; text-align: center; } .poster-fallback { display: none; position: absolute; inset: 0; background-size: cover; background-position: center; z-index: -1; } /* Reduced Motion Fallback */ @media (prefers-reduced-motion: reduce) { .video-bg-hero video { display: none; } .video-bg-hero .poster-fallback { display: block; } } /* Mobile: Static Image Fallback */ @media (max-width: 768px) { .video-bg-hero video { display: none; } .video-bg-hero .poster-fallback { display: block; } } /* JS: Lazy load video with IntersectionObserver const video = document.querySelector('.bg-hero-video'); const observer = new IntersectionObserver((entries) => { entries.forEach(entry => { if (entry.isIntersecting) { video.src = video.dataset.src; video.load(); video.addEventListener('canplay', () => video.classList.add('loaded')); observer.disconnect(); } }); }, { rootMargin: '100px' }); if (video) observer.observe(video); */","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""text"",""colSpan"":6,""rowSpan"":1,""align"":""center-left""},{""id"":""visual"",""colSpan"":6,""rowSpan"":1,""align"":""center-right""}]",Desktop: 12-col Grid. Mobile: Single column stack with poster fallback. Order preserved.,,,,
40,Stats Counter Section,"stats, metrics, counter, numbers, achievements, social-proof","1. Hero, 2. Stats Counter Row (3-4 metrics), 3. Supporting Content, 4. CTA",After stats display,Large numbers: #0F172A or brand. Labels: #64748B. Background: Light or accent subtle.,"Number count-up animation on scroll, metric card stagger, icon pulse on complete",Specific impressive numbers. Use real metrics. Count animation on viewport enter.,".stats-section { padding: 5rem 0; background: #f8fafc; } .stats-grid { display: grid; grid-template-columns: repeat(4, 1fr); gap: 2rem; text-align: center; } @media (max-width: 768px) { .stats-grid { grid-template-columns: repeat(2, 1fr); } } .stat-item { padding: 2rem; } .stat-number { font-size: 3rem; font-weight: 700; color: #0f172a; } .stat-label { color: #64748b; margin-top: 0.5rem; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
41,Scroll-Reactive Header,navbar scroll sticky header shrink compact glassmorphism fixed navigation transparent blur height transition scroll-driven animation,Fixed position always visible,Navigation links and main CTA button,"Transparent to solid with blur on scroll. Default: transparent or rgba(255,255,255,0.1). Scrolled: rgba(255,255,255,0.95) with backdrop-filter blur.","Smooth height transition (80px → 56px), backdrop-filter blur on scroll, box-shadow appear, logo scale, CTA glow, CSS scroll-driven animation",Use 50-100px scroll threshold for state change. Explicit height: 80px → 56px on scroll. Sticky CTA in navbar increases conversion. Smooth transitions 0.3-0.4s. Use animation-timeline: scroll() for CSS-native approach (90%+ browser support 2026).,"/* CSS Scroll-Driven Animation (2026 Modern - 90%+ browser support) */ @supports (animation-timeline: scroll()) { .navbar { position: fixed; top: 0; left: 0; right: 0; z-index: 50; height: 80px; animation: navbar-shrink linear both; animation-timeline: scroll(root block); animation-range: 0px 100px; } @keyframes navbar-shrink { from { height: 80px; padding: 1.5rem 2rem; background: transparent; backdrop-filter: blur(0); box-shadow: none; } to { height: 56px; padding: 0.75rem 2rem; background: rgba(255,255,255,0.95); backdrop-filter: blur(12px); box-shadow: 0 4px 20px rgba(0,0,0,0.08); } } } /* JS Fallback for older browsers */ .navbar { position: fixed; top: 0; left: 0; right: 0; z-index: 50; height: 80px; padding: 1.5rem 2rem; background: transparent; transition: all 0.3s ease-out; } .navbar.scrolled { height: 56px; padding: 0.75rem 2rem; background: rgba(255,255,255,0.95); backdrop-filter: blur(12px); -webkit-backdrop-filter: blur(12px); box-shadow: 0 4px 20px rgba(0,0,0,0.08); border-bottom: 1px solid rgba(0,0,0,0.05); } .navbar-logo { transition: transform 0.3s ease; } .navbar.scrolled .navbar-logo { transform: scale(0.9); } .navbar-cta { transition: all 0.3s ease; } .navbar.scrolled .navbar-cta { box-shadow: 0 0 20px rgba(59,130,246,0.4); } /* JS Fallback: window.addEventListener('scroll', () => { if (!CSS.supports('animation-timeline', 'scroll()')) { const navbar = document.querySelector('.navbar'); navbar.classList.toggle('scrolled', window.scrollY > 50); } }); */","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""nav"",""colSpan"":12,""rowSpan"":1,""sticky"":true}]","Desktop: Fixed top, full width. Mobile: Same fixed behavior with hamburger menu.",,,,
42,Mobile Navigation Overlay,mobile menu hamburger overlay slide navigation responsive drawer,Hamburger icon triggers overlay,Hamburger button + close button in overlay,"Overlay: rgba(0,0,0,0.5) backdrop. Menu bg: #FFFFFF or dark mode #1F2937. Accent for active links.","Hamburger morphs to X animation, slide-in from right (transform), max-height animation for accordion, focus trap",Mobile menu should trap focus. Use max-height + opacity for smooth open/close. Include close on outside click.,".mobile-nav { position: fixed; inset: 0; z-index: 100; visibility: hidden; opacity: 0; transition: opacity 0.3s ease, visibility 0.3s ease; } .mobile-nav.active { visibility: visible; opacity: 1; } .mobile-nav-backdrop { position: absolute; inset: 0; background: rgba(0,0,0,0.5); } .mobile-nav-menu { position: absolute; right: 0; top: 0; bottom: 0; width: 80%; max-width: 320px; background: #fff; transform: translateX(100%); transition: transform 0.35s cubic-bezier(0.4, 0, 0.2, 1); padding: 5rem 2rem 2rem; overflow-y: auto; } .mobile-nav.active .mobile-nav-menu { transform: translateX(0); } .hamburger { width: 24px; height: 20px; position: relative; cursor: pointer; } .hamburger span { display: block; position: absolute; height: 2px; width: 100%; background: currentColor; transition: all 0.3s ease; } .hamburger span:nth-child(1) { top: 0; } .hamburger span:nth-child(2) { top: 9px; } .hamburger span:nth-child(3) { bottom: 0; } .hamburger.active span:nth-child(1) { transform: rotate(45deg); top: 9px; } .hamburger.active span:nth-child(2) { opacity: 0; } .hamburger.active span:nth-child(3) { transform: rotate(-45deg); bottom: 9px; }","{""cols"":1,""gap"":""0"",""container"":""100%""}","[{""id"":""overlay"",""colSpan"":1,""rowSpan"":1,""fullscreen"":true}]","Mobile: Full-screen overlay. Tablet+: Hidden, use desktop nav.",,,,
